app,ratings,helpful-vote,comment
duolingo,1,10,"hi there i'm leaving a review because i'm having a terrible time with this pp. there is a forgetting issue that hides the correct choice behind the ""check"" button, and because you can't select the correct choice you can't pass the course. this is happening in the organ language, alphabet 2, lesson 3. i tried to report a bug, and the catch purification keeps failing, so i can't even do that. very disappointed, i thought this was a popular pp but it's clearly poorly maintained."
duolingo,1,1,"this pp started out alright. it does an okay job of attempting to teach some basis of a language but it generally fails to explain how sentences or words in other languages work. for example, in the hebrew language the letters in words go from left to right. domingo doesn't tell you this. i only knew this from other sources. and the pp also fails to properly tall up your points correctly and i ended up having to repeat over a dozen lessons for unknown reasons. look elsewhere."
duolingo,1,2,"i'm using this pp to learn basic japanese. the pp spends a lot if time trying to teach hiragana, but i'd much rather focus on building a basic speaking vocabulary so i can converse. reading is secondary. also worth noting, japan has 3 alphabet, hirigana, katakana, and anti. domingo does not even attempt to teach anti (or katakana). truly the only reason i'm using this pp is it's free."
duolingo,1,5,"useless for japanese, throws things at you you cannot possibly know to use up your life points and has no way to directly practice the words and phrases you need to practice. practice mode pulls random subjects and practicing acid courses is also random. it's all designed to get you to buy premium, and even then there are far better courses, apes, or webster that are far better."
duolingo,1,2,"this was great pp until they ruined it with the life. everything used to function to keep you wanting to learn more and get better. now they've ruined all of that by forcing you to quit if you make a few mistakes. it's evident all they care about is money now, they ruined a great pp for the sake of greed."
duolingo,1,0,"worked ok before i created a profile. now the pp won't let me change languages, won't load lessons, hasn't stored all my progress, and it claims i'm office when i am not. i have tried clearing catches, starting the device, and uninstalling/reinstating several times. nothing works."
duolingo,1,4,unfortunately the long wait for the hearts to regenerate is not a good experience for beginners to a new language as they will make many errors they use up their lives quickly then have a five hour wait to try again the previous domingo was far better as you could make as many errors as you like and even experiment as some languages allow you to say the same thing but in multiple ways
duolingo,1,181,"seems great at first, until you get to more complicated parts. there's a complete lack of explanation as to why something is wrong. yes, you can ask a question are read through other users explanation of what something is, but this is users helping other users and they're not always correct. also, what exactly is the premium for if you're still radiant on users explaining (and therefore teaching) the language? basically, you run through the same set of questions, never fully understanding."
duolingo,1,6,purchased the plus subscription at the end of october 2019 for 6 months and paid front. today when doing a lesson the new year promotion popped up and after closing it my plus subscription is no longer active. i still have until the end of april but can't find a way to reinstate the plus features. tried reporting it through the help centre but that has a bug too and i'm unable to submit my request. please help!
duolingo,1,6,"the hind course is so itchy you have to hope you get the ""watching pairs"" question that isn't missed up just to continue the course lessons. it really slow progress. why would i want to keep coming back to lessons that you can never pass because the entire system is missed up? really disappointed. was so excited for this, but came to a grinding halt at level 3. sent in feedback and a but fix report. nothing yet. what a shame."
duolingo,1,6,"this pp is so frustration, not because i lose all of my heart's on simple mistakes that the pp should recognise as types, it is because it beats you over the head with constantly trying to get you to become a member of the premium pp.(the complain is actually about me losing all of my hearts in simple types that the pp recognizes sometimes, but other times it is being totally dumb about the whole situation)."
duolingo,1,1,"i've been trying to use the pp the last couple of weeks and it laws so much now. it used to work just fine, what happened!!??? 👎 update (1/13/20): pp does not work at all anymore. i've attempted to use it the last 3 days and it seems stuck on a loop (starting and closing). ☹"
duolingo,1,5,"the pp definitely has some major bags. i know it sounds childish, but if i have filled my hearts spending 350 gems and it doesn't get reflected, it is heartbreaking to me. it's like paying online for a food delivery order, but the order is never noted, despite the amount being deduced from the account"
duolingo,1,27,"i’ve been using this pp for a long time and loving it. but, it was always obvious that they are struggling with their promise to be “always free” in the face of market reality. so, i’ve seen them experimenting with different features that might get people to pay for premium. well, they finally broke their promise as expected and introduced a “hearts system” that limit the use of the pp unless you have premium account in which you could buy unlimited hearts. this is such a steady way of forcing people to pay for premium while still pretending you are free. if you cannot hold you promise then just don’t. tell the users it’s not working and some changes are needed. but why do you have to do it by limiting the amount of mistakes a person can make in the courses?!?!? just limit the amount of courses a person can take a day or the amount of time for practice, or just close some features from the free users (like the tips or the “skin a course” key). limiting the errors i can make in a course?!? are you bidding me?!?! how does a person suppose to learn if not from making mistakes?!? moreover, most of the mistakes are not even mine—a lot of the mistakes are the pp’s (i don’t know how many times i selected the “my answer should have been accepted” option and got an email from them saying i was right), and not to mention all the mistakes one makes because of the phone’s spell checked. just as principle i’m not going to be a premium member. there is babel, drops, memories, and many other apes for learning languages. all of them are not free, but at least they are being honest about it right from the start!!!"
duolingo,1,36,"i was really disappointed with the update. now you have to waste all your hard worked lights to skin a level which doesn't make sense. i only skin levels once i'm confident i can do it so why is it that it's something only those who have plus can do it unlimited? if domingo's motto is to make learning languages free they should keep it that way for everybody. i am fine with receiving as, i get that they need funding to keep running but giving plus more privileges becomes a 'pay to win' pp"
duolingo,1,106,"i have had to drop my rating to a 1 star. the pp is fantastic, i love learning with it. however, there is something very wrong with the up system. i earn mine honestly, but there are several people that use a hack to cheat. there is just no way that i can see how anyone can earn 700 up in 10 minutes. i hope by making a 1 star review, the developer will take notice and close these loopholes. allowing it to remain does not make me want to pay for the pp, and i am thankful it's still free."
duolingo,1,4,"exceptional pp. but i'm having problems upbraiding to plus. i was hoping to take advantage of their 2020 deal. but all payment methods are being declined (even though all payment details are up to date and correct.) tried to submit a help request though the pp and even that's broken. can't attach screenshots, which is mandatory. and no catch image appears, thus rendering me unable to submit the form anyway. i really hope the developer see this and help me out. because i love this pp."
duolingo,1,16,"i chose japanese to learn, considerably one of the hardest languages. being that i already had some experience working with a native teacher teaching me the language, i was a bit confused on how they were teaching people. for one, you hardly learn any of the characters before jumping straight into learning words. the harder part of the language is quickly introduced within the first lesson, even though it is typically learned after you learn the words in the easier characters."
duolingo,1,1,"i think it's services are okay. however i accidentally signed up for do-lingo plus, you get 1 week free plus and i thought sure. next thing i know i'm down 60 dollars for a subscription i did not want. i could do the monthly fee, but to take out a whole year subscription i didn't want. do-lingo you are a con pp!"
duolingo,1,41,"domingo used to be a great place for me to learn spanish for several reasons. it alternated from translating from english to spanish and vice versa, i was able to clock levels that were a little more interesting with lights (earned), and eventually i unlocked short fill in the blank dialogue. most of this still applies, but it's ruined for me because the lingo system is replaced with the heart system, which means you're allowed to make only five mistakes unless you put down money. pus fix"
duolingo,1,3,the pp was working fine until latest update. now my progress is not dating and continually stuck on the same lesson and up score also not dating. fix it before i install and stop using. oh and now its saying in office and not connected to the internet when i am.
duolingo,1,125,"this pp was working out just fine until they recently changed all the rules 🤬 no notice no explanation no nothing! now it is not fun anymore 😕 why would they make it harder? now you have these hearts, 5 of them and in a lesson when you make a mistake you loose a heart. after you make 5 mistakes you can't practice anymore!!!! what??? also i had plenty of gems to have fun ""buying"" stuff with...but now the same thing that cost 10 gems now cost 200!!! now that's some serious inflation!!! 🤨😩"
duolingo,1,6,"initially it was teaching sounds and how they looked written down. then some of the sounds were combined. i assume as in english th is different to t, h, ch different to c and h. i was happy with my progress. suddenly it wants me to translate words and short sentences that i haven't seen before. which means i can only make random guesses as to the correct answer. surprisingly, i'm getting a lot wrong! but i'm only allowed a few incorrect answers before i'm locked out for several hours!"
