app,ratings,helpful-vote,sentence
duolingo,5,241,"brilliant pp, only a few minutes a day, easy to fit into your day, very happy at how quickly i've been able to brush up on my french."
duolingo,5,241,"very efficient way of learning... french to english translations, english to french, listening to french pronunciation, missing words and practicing tense."
duolingo,5,241,"i know loads of people, young and older, who are trying the pp."
duolingo,5,241,huge language option.
duolingo,5,241,i like it that you can set up how many minutes a day i want to practise.
duolingo,5,56,"if you give it serious time (not 5 minutes a day like they advertise, but more like an hour or two daily), this learning method actually works well to get you started with a language."
duolingo,5,56,"the gazing mechanics keeps you coming back for more, it's fun to compete on the leaderboards and in a couple of months you'll start to understand and maybe even basically speak another language!"
duolingo,5,25,"amazing learning tool for those who want to set a foundation for learning a language, me personally chose russian and i feel like i am learning a good amount, you just need to dedicate time and effort, i also recommend tiny cards and then follow the language you're learning to help practice and perfect the language of your choice."
duolingo,5,25,hopefully i will have russian killed in eventually.
duolingo,5,25,just need to put in the work.
duolingo,5,25,"overall, great free pp and i love domingo!!"
duolingo,5,25,!
duolingo,5,1,love this pp.
duolingo,5,1,"i've tried at least a dozen others, and every one of them would only let you progress so far, or do so many lessons, before having to subscribe."
duolingo,5,1,"i've been able to access everything i've worked towards, and had clot of fun doing it."
duolingo,5,1,"i would, and have, recommend domingo to anyone looking to learn another language."
duolingo,5,0,"so far, so good."
duolingo,5,0,"i am still in the beginning/into, so i dont know how much will be locked behind pay walls, but it's great to refresh basic spanish skill."
duolingo,5,0,"the little owl us so cut and encouraging that even as an adult, i feel like i'm making progress."
duolingo,5,0,"my only complaint would be that it is spain spanish, which is different from mexican spanish, but it's definitely a starting point."
duolingo,5,119,fantastic!
duolingo,5,119,"it's such a fun way to learn a language, i absolutely love the story telling addition and the little details everywhere."
duolingo,5,119,"it works, i went from 0 french to pretty much somewhat proficient, and i still got a long way to go to finish the course!"
duolingo,5,119,"adds are very fairly placed and completely unobtrusive on the free version as well, thank you domingo!"
duolingo,5,119,this is an pp clearly made by a developer who cares.
duolingo,5,119,"russian, you're next ;) i just wish each lesson was a bit longer though."
duolingo,5,10,a wonderful and revolutionary pp.
duolingo,5,10,making fun out of learning through ratification.
duolingo,5,10,wonderful use of visual and audit clues.
duolingo,5,10,does a great job keeping you engaged and interested and it really works.
duolingo,5,10,wonderful to use before to study up for trip abroad.
duolingo,5,10,"where's the pp that makes learning history, path, or other subjects fun?!"
duolingo,5,10,thank you for your service and helping those who commit to continuous learning and growth.
duolingo,5,6,i am conversational in japanese.
duolingo,5,6,"however, this domingo pp is teaching me words, phrases and some structure that is new to me in the language."
duolingo,5,6,"also, i use this pp to learn the written language (anti)."
duolingo,5,6,which i am really enjoying!!
duolingo,5,6,this pp is not just for beginners.
duolingo,5,6,those of us who speak the language can benefit as well.
duolingo,5,6,thank you domingo !
duolingo,5,3,this offers opportunities to learn in many different style.
duolingo,5,3,"between needing to speak it, having to translate it both ways and needing to write what you hear."
duolingo,5,3,it build on top of itself at a good place incorporating words from past lesson and incorporating new words in an easy to understand concept.
duolingo,5,3,i am excited to use this pp to learn as i move to south florida and hope to become client by end of the year.
duolingo,5,3,an excellent language pp.
duolingo,5,3,fun to use.
duolingo,5,3,each lesson has tips which are useful.
duolingo,5,3,"lessons depend on the category chosen & can be phrases in your home language & the language you are learning, write what you have heard, speak the phrase or word, enter missing words, vocabulary."
duolingo,5,3,it is an easy way to learn a language & you move up or down in leagues pitted against each other.
duolingo,5,3,see which languages others are learning.
duolingo,5,3,"complete as little or more daily or less frequently, easy to pick up again."
duolingo,5,11,wonderful pp.
duolingo,5,11,"makes learning a new language a since, even better than university and much cheaper!"
duolingo,5,11,courses are $600 for 4 months while i paid $66 for 6 months and i learn on my own time.
duolingo,5,11,plus no exam!
duolingo,5,11,many different exercises to help you learn rules and lots of repetition to help memories the material.
duolingo,5,11,the pp makes it fun like a game.
duolingo,5,11,much easier to learn than babel.
duolingo,5,11,i speak 3 languages already and i plan on learning 2 more after this fourth one because the pp is so easy and fun.
duolingo,5,4,great pp.
duolingo,5,4,i am learning spanish and it is really helping.
duolingo,5,4,i struggle with profound and this is really helping me.
duolingo,5,4,"the lessons have a nice mix of reading, listening and writing."
duolingo,5,4,and the progression is nice and slow.
duolingo,5,4,i had to download a dual language keyboard so i do the writing properly.
duolingo,5,4,i can wait to go to spain and practice what i've learnt
duolingo,5,4,the pp uses just the right amount of one's base language to get you started.
duolingo,5,4,then one hardly notices english even when you're doing a translation exercise.
duolingo,5,4,it has an element of multiple choice exercises.
duolingo,5,4,it can be very easy if one sticks to it and just demanding enough to make learning a language a pleasure.
duolingo,5,4,at one point it replaced solitary as my go to pp when on 20 minute bus rides my advice to all is to bite off what you can chew.
duolingo,5,4,chew it over by a little real world practise.
duolingo,5,2,very nice pp!
